"source","translation","reference"
"數碼寶貝大冒險","數碼暴龍",""
"數碼寶貝拯救隊","數碼暴龍DS",""
"數碼寶貝大匯戰","數碼暴龍合體大作戰",""
"數碼寶貝大冒險：","數碼暴龍：重啟之戰",""
"數碼寶貝","數碼精靈",""
"類型A","男",""
"類型B","女",""
"入侵者獸","宇宙腦魔",""
"入侵者遊玩券","宇宙腦魔遊玩券",""
"合體進化","聯展進化","02"
"合體退化","聯展退化","02"
"中古零件店","二手零件店",""
"保全系統","保安系統",""
"巨大玩偶","巨大毛公仔",""
"玩偶？","毛公仔？",""
"自稱玩偶","自稱毛公仔",""
"熊布偶裝？","熊公仔衫？",""
"熊貓布偶裝？","熊貓公仔衫？",""
"雜聞秀的時事評論人","雜聞節目的時事評論人",""
"雜聞秀的廣告","雜聞節目的廣告",""
"中等個子","中等身高",""
"布偶裝套組","公仔衫套組",""
"草莓聖代","草莓新地",""
"水果塔","鮮果撻",""
"人孔蓋","坑渠蓋",""
"墮天地獄獸BM","墮天地獄獸：爆裂型態",""
"紅蓮騎士獸CM","紅蓮騎士獸：真紅蓮型態",""
"貝爾菲獸RM","貝爾菲獸：憤怒型態","Rage Mode"
"柯羅諾獸HM","柯羅諾獸：神聖形態","Holy Mode"
"柯羅諾獸DM","柯羅諾獸：毀滅形態","Destroy Mode"
"朱庇特獸WM","朱庇特獸：雷霆型態","https://digimon.net/reference_zh-CHT/detail.php?directory_name=jupitermmon_wrath"
"朱諾獸HM","朱諾獸：癔病型態","https://digimon.net/reference_zh-CHT/detail.php?directory_name=junomon_hysteric"
"沙路比獸JM","沙路比獸：人狼型態","https://digimon.net/reference_zh-CHT/detail.php?directory_name=cerberumon_werewolfmode"
"帝皇龍甲獸FM","帝皇龍甲獸：戰鬥型態","TVB版是戰鬥模式，但統一「Mode=型態」"
"帝皇龍甲獸PM","帝皇龍甲獸：聖騎士型態",""
"光明獸","六翅獸","04"
"光明獸FM","六翅獸：墮落型態",""
"光明獸SM","六翅獸：撒旦型態",""
"貝爾菲獸SM","貝爾菲獸：睡眠型態","https://digimon.net/reference_zh-CHT/detail.php?directory_name=belphemonsleepmode"
"帝皇龍甲獸DM","帝皇龍甲獸：龍型態",""
"芳香獸LM","芳香獸：豹型態","https://digimon.net/reference_zh-CHT/detail.php?directory_name=duftmonleopardmode"
"巴克科斯獸DM","巴克科斯獸：酩酊型態","暫無正式中文名，Deisui(泥酔) Mode"
"閃光暴龍獸BM","閃光暴龍獸：爆裂型態",""
"幻影迦奧迦獸BM","幻影迦奧迦獸：爆裂型態",""
"鴉神獸BM","鴉神獸：爆裂型態",""
"薔薇獸","高雅薔薇獸","DS、重啟55"
"薔薇獸BM","高雅薔薇獸：爆裂型態",""
"淑女惡魔獸","女惡魔獸",""
"入侵者160","宇宙腦魔160",""
"鳳凰獸","聖鷹獸","重啟52"
"獸人加魯魯獸","獸人加魯魯",""
"鋼鐵加魯魯獸","鋼鐵加魯魯",""
"亞古獸（黑）","黑亞古獸","配合黑戰暴"
"黑暗戰鬥暴龍獸","黑戰鬥暴龍獸","02"
"加布獸（黑）","黑加布獸","配合黑戰暴"
"加魯魯獸（黑）","黑加魯魯獸","配合黑戰暴"
"獸人加魯魯獸（黑）","黑獸人加魯魯","配合黑戰暴"
"鋼鐵加魯魯獸（黑）","黑鋼鐵加魯魯","配合黑戰暴"
"岩石獸","高力獸","02,04,05"
"賢者獸","鏡影獸","重啟51"
"古代賢者獸","古代鏡影獸","配合鏡影獸"
